date,nav,market price
20240111,13.230462878897987,13.289999961853027
20240112,12.409195210497373,12.470000267028809
20240116,12.251470438182885,12.286999702453613
20240117,12.097094953653112,12.15999984741211
20240118,11.605086765382888,11.59000015258789
20240119,11.879396678215295,11.819999694824219
20240122,11.373604313608562,11.40999984741211
20240123,11.124449665425251,11.119999885559082
20240124,11.276232093820994,11.229999542236328
20240125,11.293060828374138,11.3100004196167
20240126,11.911661912954878,11.920000076293945
20240129,12.218232595252344,12.25
20240130,12.366182748051271,12.359999656677246
20240131,12.148685826147576,12.0600004196167
20240201,12.207089505691268,12.1899995803833
20240202,12.190972180137905,12.180000305175781
20240205,12.033237018484003,12.020000457763672
20240206,12.234681885291158,12.220000267028809
20240207,12.48454039334157,12.517000198364258
20240208,12.891241378578453,12.907999992370605
20240209,13.504256590879972,13.484000205993652
20240212,14.170644391408114,14.25
20240213,13.97627582580469,14.020999908447266
20240214,14.688343927823286,14.680999755859375
20240215,14.701760989174641,14.6899995803833
20240216,14.697953337023273,14.720000267028809
20240220,14.771817683028258,14.760000228881836
20240221,14.470129128536948,14.460000038146973
20240222,14.67953821656051,14.75
20240223,14.475656845182774,14.479999542236328
20240226,15.462269132462579,15.470000267028809
20240227,16.181618467022485,16.18000030517578
20240228,17.114327897801733,17.139999389648438
20240229,17.597597521227282,17.579999923706055
20240301,17.745136126207424,17.8799991607666
20240304,19.14766458452288,19.229999542236328
20240305,17.70392741561536,17.579999923706055
20240306,19.04571462991632,19.040000915527344
20240307,19.23346273727058,19.219999313354492
20240308,19.64428441987621,19.65999984741211
20240311,20.537773967447066,20.469999313354492
20240312,20.276083282748495,20.270000457763672
20240313,20.73352610113464,20.860000610351562
20240314,19.71336948917012,19.670000076293945
20240315,19.771901647747164,19.59000015258789
20240318,19.04475169800956,18.979999542236328
20240319,18.355448561401122,18.260000228881836
20240320,18.584071327490918,18.690000534057617
20240321,18.502599189206155,18.510000228881836
20240322,18.08213655267986,18.139999389648438
20240325,20.06765503561232,20.170000076293945
20240326,19.78330589220956,19.719999313354492
20240327,19.462483307259795,19.479999542236328
20240328,20.061789077901736,20.1299991607666
20240401,19.65633781836248,19.790000915527344
20240402,18.726853252399817,18.709999084472656
20240403,18.681868492024982,18.68000030517578
20240404,19.481170635956985,19.450000762939453
20240405,19.216081245460703,19.1200008392334
20240408,20.360000610351562,20.360000610351562
20240409,19.52680389931355,19.559999465942383
20240410,19.718309026747274,19.8799991607666
20240411,19.922264073269048,19.989999771118164
20240412,18.947262598236605,18.969999313354492
20240415,17.911637662783143,17.959999084472656
20240416,17.82495417290261,17.799999237060547
20240417,17.319050192272044,17.299999237060547
20240418,17.96150416762924,18.010000228881836
20240419,18.216281154111968,18.260000228881836
20240422,18.81543607461701,18.8700008392334
20240423,18.877551859977387,18.8700008392334
20240424,18.202810402376105,18.1299991607666
20240425,18.323508994492848,18.34000015258789
20240426,18.113472027690676,18.06999969482422
20240429,17.774235481307056,17.84000015258789
20240430,16.993397198818005,16.729999542236328
20240501,16.41563114264869,16.1299991607666
20240502,16.777921841773328,16.84000015258789
20240503,17.512664309890337,17.6299991607666
